title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
别克 英朗 2015款 15N 自动精英型,上汽通用别克,2016-01,6.03,自动,1.5L,6.61,13.80,广州,2015款,紧凑型,0,114马力,汽油,4587,1798,1463,,前置前驱
福特 福克斯 2018款 两厢 EcoBoost 180 自动精英型,长安福特,2018-06,1.32,自动,1.5T,9.73,9.85,广州,2018款,紧凑型,0,181马力,汽油,4368,1823,1483,,前置前驱
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,上汽通用雪佛兰,2012-12,11.11,自动,2.4L,7.80,28.60,广州,2012款,中型,1,167马力,汽油,4673,1849,1756,,前置四驱
日产 轩逸 2016款 1.6XL CVT豪华版,东风日产,2016-12,3.4,自动,1.6L,8.96,9.3,广州,2016款,紧凑型,0,126马力,汽油,4631,1760,1503,,前置前驱
本田CR-V 2013款 2.4L 两驱豪华版,东风本田,2013-09,6.64,自动,2.4L,12.19,12.59,广州,2013款,紧凑型,1,190马力,汽油,4550,1820,1685,,前置前驱
别克 英朗 2015款 18T 双离合运动旗舰型,上汽通用别克,2015-11,6.28,自动,1.4T,7.92,17.40,广州,2015款,紧凑型,0,144马力,汽油,4587,1798,1463,,前置前驱
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,上汽通用别克,2015-06,3.27,自动,1.4T,7.17,7.54,广州,2015款,小型,1,140马力,汽油,4278,1774,1646,,前置前驱
宝马3系 2015款 320Li 超悦版时尚型,华晨宝马,2015-07,3.03,自动,2.0T,20.60,38.00,广州,2015款,中型,0,184马力,汽油,4734,1811,1453,,前置后驱
现代 索纳塔九 2015款 1.6T GLS智能型,北京现代,2016-09,4.82,自动,1.6T,11.42,11.69,广州,2015款,中型,0,180马力,汽油,4855,1865,1485,,前置前驱
吉利 帝豪GL 2018款 1.4T 自动精英智联型,吉利汽车,2018-05,4.55,自动,1.4T,7.26,10.80,广州,2018款,紧凑型,0,133马力,汽油,4725,1802,1478,,前置前驱
奔驰B级 2009款 B 200 时尚型(进口),奔驰(进口),2011-01,5.83,自动,2.0L,9.70,34.60,广州,2009款,紧凑型,0,136马力,汽油,4273,1777,1593,,前置前驱
本田 冠道 2017款 370TURBO 两驱豪华版,广汽本田,2016-12,2.45,自动,2.0T,21.98,22.44,广州,2017款,中型,1,272马力,汽油,4816,1942,1669,,前置前驱
福特 福睿斯 2017款 改款 1.5L 自动舒适型,长安福特,2017-12,1.24,自动,1.5L,7.20,11.70,广州,2017款,紧凑型,0,113马力,汽油,4587,1825,1490,,前置前驱
本田 凌派 2016款 1.8L CVT豪华版,广汽本田,2017-08,1.5,自动,1.8L,10.11,10.42,广州,2016款,紧凑型,0,136马力,汽油,4664,1750,1505,,前置前驱
丰田 雷凌 2017款 改款双擎 1.8H GS CVT精英天窗版,广汽丰田,2017-09,2.77,自动,1.8L,11.47,11.93,广州,2017款,紧凑型,0,99马力,油电混合,4630,1775,1485,,前置前驱
