title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
北汽 BJ212 2016款 2.0L 方门 四驱豪华型 国V,北京汽车制造厂,2016-04,1.98,手动,2.0L,4.00,7.40,北京,2016款,小型,1,102马力,汽油,4080,1840,1870,,前置四驱
奔驰E级 2014款 改款 E 300 L 运动豪华型,北京奔驰,2014-12,8.85,自动,3.0L,28.75,75.40,北京,2014款,中大型,0,245马力,汽油,5021,1854,1487,,前置后驱
英菲尼迪Q70L 2013款 Q70L 2.5L 雅致版(进口),英菲尼迪(进口),2014-10,6.69,自动,2.5L,20.60,20.81,北京,2013款,中大型,0,235马力,汽油,5095,1845,1500,,前置后驱
起亚K4 2014款 1.8L 自动DLX,东风悦达起亚,2015-03,8.16,自动,1.8L,8.10,17.20,北京,2014款,中型,0,143马力,汽油,4720,1815,1465,,前置前驱
大众 途观 2013款 2.0TSI 自动四驱旗舰版,上汽大众,2013-10,5.1,自动,2.0T,15.02,15.49,北京,2013款,紧凑型,1,200马力,汽油,4506,1809,1685,,前置四驱
奔驰E级 2014款 E 300 L,北京奔驰,2013-08,6.36,自动,3.0L,24.87,73.30,北京,2014款,中大型,0,245马力,汽油,5021,1854,1487,,前置后驱
铃木 雨燕 2013款 1.5L 自动20周年限量版,长安铃木,2015-06,4.53,自动,1.5L,4.80,9.00,北京,2013款,小型,0,103马力,汽油,3765,1690,1510,,前置前驱
别克 君威 2015款 1.6T 精英技术型,上汽通用别克,2015-07,6.25,自动,1.6T,9.83,22.80,北京,2015款,中型,0,184马力,汽油,4843,1856,1484,,前置前驱
别克GL8 2014款 2.4L 经典版,上汽通用别克,2016-10,4.51,自动,2.4L,13.33,22.70,北京,2014款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
哈弗H7 2016款 蓝标H7 2.0T 自动豪华型,长城汽车,2016-05,2.09,自动,2.0T,11.33,17.30,北京,2016款,中型,1,231马力,汽油,4700,1925,1718,,前置前驱
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,长安福特,2014-05,6.28,自动,2.0T,10.68,22.00,北京,2013款,中型,0,203马力,汽油,4860,1854,1480,,前置前驱
别克GL8 2014款 3.0L XT豪华商务旗舰版,上汽通用别克,2016-02,1.83,自动,3.0L,23.05,43.40,北京,2014款,MPV,0,258马力,汽油,5266,1878,1800,,前置前驱
东风风行 景逸XV 2015款 1.6L CVT舒适型,东风风行,2015-11,2.36,自动,1.6L,4.34,8.70,北京,2015款,紧凑型,1,122马力,汽油,4348,1835,1705,,前置前驱
别克 君越 2012款 3.0L旗舰版,上汽通用别克,2011-05,10.33,自动,3.0L,8.52,35.00,北京,2012款,中型,0,258马力,汽油,5000,1858,1497,,前置前驱
现代 索纳塔八 2011款 2.0L 自动尊贵版,北京现代,2011-07,9.61,自动,2.0L,7.85,21.50,北京,2011款,中型,0,165马力,汽油,4820,1835,1475,,前置前驱
福特 翼虎 2015款 1.5L GTDi 两驱舒适型,长安福特,2015-12,7.89,自动,1.5T,11.08,21.00,北京,2015款,紧凑型,1,181马力,汽油,4524,1838,1685,,前置前驱
斯巴鲁 傲虎 2013款 2.5i 运动版,斯巴鲁,2012-10,15.56,自动,2.5L,12.06,33.20,北京,2013款,中型,1,173马力,汽油,4790,1820,1620,,前置四驱
标致508 2012款 2.0L 自动豪华版,东风标致,2012-06,4.93,自动,2.0L,6.56,21.70,北京,2012款,中型,0,147马力,汽油,4826,1855,1465,,前置前驱
大众CC 2012款 1.8TSI 尊贵型,一汽-大众,2012-11,10.19,自动,1.8T,12.14,27.30,北京,2012款,中型,0,160马力,汽油,4799,1855,1417,,前置前驱
宝马3系 2014款 320Li 豪华设计套装,华晨宝马,2014-01,4.95,自动,2.0T,19.83,43.70,北京,2014款,中型,0,184马力,汽油,4734,1811,1453,,前置后驱
宝马5系 2014款 525Li 豪华设计套装,华晨宝马,2015-04,6.47,自动,2.0T,29.23,54.20,北京,2014款,中大型,0,218马力,汽油,5055,1860,1491,,前置后驱
马自达5 2013款 2.0L 自动舒适型(进口),马自达(进口),2016-04,3.39,自动,2.0L,11.42,19.20,北京,2013款,MPV,0,144马力,汽油,4585,1750,1620,,前置前驱
大众 帕萨特 2014款 2.0TSI DSG御尊导航版,上汽大众,2015-01,6.23,自动,2.0T,14.60,28.00,北京,2014款,中型,0,200马力,汽油,4870,1834,1472,,前置前驱
丰田 卡罗拉 2011款 1.6L 手动GL天窗版,一汽丰田,2011-07,14.48,手动,1.6L,3.84,14.20,北京,2011款,紧凑型,0,122马力,汽油,4545,1760,1490,,前置前驱
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型,长安马自达,2017-02,1.44,自动,1.5L,10.76,15.20,北京,2017款,紧凑型,0,117马力,汽油,4582,1795,1458,,前置前驱
别克 君越 2011款 2.4L SIDI雅致版,上汽通用别克,2011-08,14.22,自动,2.4L,7.92,25.50,北京,2011款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
大众 尚酷 2009款 1.4TSI 风尚版(进口),大众(进口),2011-11,4.63,自动,1.4,12.17,32.30,北京,2009款,跑,0,160马力,汽油,4256,1810,1404,,前置前驱
福特 锐界 2015款 2.7T GTDi 四驱运动型 7座,长安福特,2016-05,6.63,自动,2.7T,22.90,43.40,北京,2015款,中型,1,329马力,汽油,4878,1925,1770,,前置四驱
雷克萨斯CT 2012款 CT200h 精英版,雷克萨斯,2012-05,8.12,自动,1.8L,10.74,30.30,北京,2012款,紧凑型,0,99马力,油电混合,4320,1765,1440,,前置前驱
奥迪Q5 2016款 40 TFSI 进取型,一汽-大众奥迪,2016-09,5.66,自动,2.0T,25.44,41.60,北京,2016款,中型,1,224马力,汽油,4629,1898,1655,,前置四驱
宝马4系 2014款 420i Gran Coupe 时尚型(进口),宝马(进口),2015-12,5.52,自动,2.0T,28.90,52.10,北京,2014款,中型,0,184马力,汽油,4641,1825,1408,,前置后驱
Jeep 自由客 2011款 2.4 经典版(进口),Jeep(进口),2011-11,6.71,自动,2.4L,8.92,9.11,北京,2011款,紧凑型,1,170马力,汽油,4424,1808,1667,,前置四驱
奔驰GLK级 2015款 GLK 260 4MATIC 动感型 极致版,北京奔驰,2015-07,16.25,自动,2.0T,20.34,21.25,北京,2015款,中型,1,211马力,汽油,4556,1840,1689,,前置四驱
比亚迪S6 2012款 2.0L 手动尊贵型,比亚迪,2012-07,7.67,手动,2.0L,3.31,11.70,北京,2012款,中型,1,140马力,汽油,4810,1855,1725,,前置前驱
福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,长安福特,2012-11,2.62,自动,2.0T,7.65,23.60,北京,2011款,中型,0,203马力,汽油,4854,1886,1495,,前置前驱
福特 福克斯 2012款 两厢 1.6L 手动舒适型,长安福特,2013-09,5,手动,1.6L,4.89,13.00,北京,2012款,紧凑型,0,125马力,汽油,4368,1823,1483,,前置前驱
斯柯达 明锐 2010款 1.4TSI DSG逸俊版,上汽斯柯达,2011-06,10.02,自动,1.4T,5.42,17.50,北京,2010款,紧凑型,0,131马力,汽油,4569,1769,1462,,前置前驱
福特 翼搏 2013款 1.5L 自动风尚型,长安福特,2013-04,3.61,自动,1.5L,5.65,12.20,北京,2013款,小型,1,110马力,汽油,4280,1785,1658,,前置前驱
福特 翼虎 2013款 1.6L GTDi 四驱精英型,长安福特,2013-12,7.9,自动,1.6T,9.16,9.48,北京,2013款,紧凑型,1,177马力,汽油,4524,1838,1695,,前置四驱
奔腾X80 2013款 2.0L 自动豪华型,一汽奔腾,2013-07,7.25,自动,2.0L,5.66,5.73,北京,2013款,紧凑型,1,147马力,汽油,4586,1820,1695,,前置前驱
大众 捷达 2013款 1.6L 手动舒适型,一汽-大众,2013-04,6.57,手动,1.6L,4.35,10.70,北京,2013款,紧凑型,0,110马力,汽油,4487,1706,1470,,前置前驱
现代ix35 2012款 2.4L 自动四驱领航版GLS,北京现代,2012-10,8.89,自动,2.4L,7.32,7.57,北京,2012款,紧凑型,1,174马力,汽油,4420,1820,1690,,前置四驱
别克 昂科拉 2013款 1.4T 自动四驱旗舰型,上汽通用别克,2013-06,3.37,自动,1.4T,8.00,21.40,北京,2013款,小型,1,140马力,汽油,4278,1774,1656,,前置四驱
日产 阳光 2014款 1.5XE CVT精英版,东风日产,2015-03,4.69,自动,1.5L,5.69,10.10,北京,2014款,紧凑型,0,112马力,汽油,4456,1696,1514,,前置前驱
福特 福克斯 2012款 两厢 1.6L 自动风尚型,长安福特,2012-11,6.79,自动,1.6L,5.34,15.60,北京,2012款,紧凑型,0,125马力,汽油,4368,1823,1483,,前置前驱
别克GL8 2011款 2.4L CT舒适版,上汽通用别克,2013-01,5.77,自动,2.4L,9.00,24.70,北京,2011款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
大众 朗行 2013款 1.6L 手动舒适型,上汽大众,2013-10,8.42,手动,1.6L,6.10,14.00,北京,2013款,紧凑型,0,110马力,汽油,4454,1765,1460,,前置前驱
福特 福克斯 2012款 三厢 2.0L 自动旗舰型,长安福特,2013-04,6.66,自动,2.0L,6.25,18.40,北京,2012款,紧凑型,0,170马力,汽油,4534,1823,1483,,前置前驱
大众POLO 2016款 1.6L 自动舒适型,上汽大众,2016-10,3.42,自动,1.6L,6.99,11.30,北京,2016款,小型,0,110马力,汽油,3970,1682,1462,,前置前驱
