num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe
0568,9,85,119,100.5,61.6,47,42,44.5,45.5,46.5,48
0550,9,91,106,99.5,60.9,42.5,45.5,47.5,43.5,46.5,56
0032,1,90,97,108.5,62.3,41.5,47.5,47,38.5,46.5,60
0373,6,82,115,100.5,65.8,40.25,46.5,46,38,48.5,56
0406,7,79,111,105,68.6,42.75,39,46,42.5,48,56
0583,10,89,105,106,66.5,42,46,43,40,48,52
0005,1,91.5,100,111,61.6,34.75,45.5,46.5,43.5,47,56
0426,7,85.5,112,103.5,64.4,41.75,46.5,45.5,44,45.5,48
0496,8,97,105,105,62.3,38.75,44,45.5,44.5,46.5,48
0520,9,84.5,112,101,62.3,41.75,47.5,43,42.5,46,56
0061,1,84.5,105,106.5,59.5,40.5,47,45.5,46.5,45,56
0464,8,85.5,118,100.5,65.1,44.75,41,46,39.5,47.5,48
0187,3,93.5,107,97.5,65.8,41.5,41.5,44.5,44.5,44,56
0183,3,91.5,105,101,63.7,38.5,48,46,43.5,46,52
0620,10,88.5,104,105.5,65.1,43,44,46.5,39,47,52
0303,5,98,108,99.5,65.8,37.25,45.5,41,44,47.5,48
0031,1,91,111,105,62.3,39,40,43,40.5,46.5,56
0077,2,79,111,106.5,59.5,41.75,44.5,46,46,44,56
0225,4,89,103,100.5,65.8,42.25,43,46,45.5,47,52
0311,5,93.5,100,108,56,39.75,43,46.5,45,46,56
0667,4,87.5,103,100,63.7,41.5,47,44,43,48,56
0015,1,87.5,99,100,63,42,44,45.5,43,49.5,60
0479,8,80,118,98.5,65.8,38,44,46,43,48,52
0643,2,80.5,106,103,60.9,42.25,45,46,48,45.5,56
0140,3,78.5,109,100,65.8,40.25,44.5,44.5,42,48.5,60
0057,1,83.5,104,107,65.1,38.75,42,46,41.5,49,56
0585,10,88.5,105,95.5,63.7,41.25,45.5,45.5,42.5,49,56
0656,5,94.5,108,102,60.9,38.5,48,43.5,37.5,46,52
0343,6,91.5,115,86.5,65.1,45.25,44.5,44,43,48,48
0248,4,91.5,106,100,62.3,42.5,47,44.5,39,46,52
0173,3,78,115,85,67.2,45,46,47,42.5,48.5,56
0287,5,82.5,112,105.5,64.4,32.75,46.5,44.5,39,47,56
0519,9,89,102,103.5,61.6,46.5,49,45.5,34,47,52
0481,8,81,109,103.5,63,42.5,46,47.5,34,47.5,56
0458,8,83.5,115,95.5,67.2,42.75,41.5,44.5,39,45,56
0211,4,83,114,97,63,39.25,44.5,45.5,46.5,45,52
0078,2,78.5,106,94,63,45,47,47.5,46,46.5,56
0640,10,84.5,117,96,61.6,40.25,44,45.5,41,47.5,52
0023,1,89,110,96.5,67.2,40,43.5,45,31.5,46.5,60
0017,1,87.5,99,109.5,59.5,39.5,40.5,46,42.5,45,60
0393,7,80,112,102.5,65.1,39.25,42.5,43.5,40,48,56
0441,7,88,111,102.5,58.8,44.75,41,46.5,42,45.5,48
0623,10,90.5,106,102.5,61.6,40,44.5,43.5,38.5,44.5,56
0112,2,88.5,104,105.5,54.6,36.5,45.5,44.5,43.5,44,60
0243,4,87.5,111,95,55.3,42.75,45.5,43.5,42,48,56
0232,4,84.5,105,98,60.9,45,45,46,38.5,47.5,56
0497,8,83.5,110,102,55.3,42.75,42.5,46.5,39,48.5,56
0609,10,89,117,95,63.7,39.75,45,43,37.5,48,48
0507,8,80.5,98,114,57.4,43,46,46.5,45.5,47,48
0293,5,94.5,106,96.5,53.2,36.75,48,46,44.5,48,52
0168,3,95,97,86,67.9,40,45.5,46.5,39,47.5,60
0347,6,87.5,107,95.5,61.6,41.25,42.5,43.5,40,45.5,60
0021,1,85.5,113,88,67.2,37.75,45.5,46,40,45,56
0532,9,77.5,111,94,64.4,46,39.5,47,42,46.5,56
0323,6,79,114,82.5,67.2,41.75,44.5,48.5,41,49,56
0002,1,78,114,98.5,60.2,38.25,42,45,39,48.5,60
0360,6,88,100,100.5,60.9,41,43,46.5,39.5,47.5,56
0189,3,89.5,108,98.5,56.7,47,47,46.5,31,46.5,52
0047,1,89.5,106,102,52.5,35,45,45,44,47.5,56
0614,10,93.5,106,94.5,57.4,41.25,45,45,37.5,46,56
0664,10,83.5,115,95.5,58.1,38.75,44,46.5,39,45.5,56
0085,2,81.5,105,101,60.2,39,47,47,40.5,44.5,56
0151,3,77.5,109,98,64.4,42.25,42.5,47,36.5,48.5,56
0602,10,84,111,102.5,64.4,38.25,41,44.5,40.5,43.5,52
0289,5,86.5,105,96,62.3,39.75,43,46.5,43,47.5,52
0200,4,84.5,102,101.5,64.4,36.25,46,47,40.5,47,52
0448,7,90.5,96,103,57.4,37.75,46.5,46.5,40.5,47,56
0417,7,90,100,99,60.2,39.25,42.5,43.5,43.5,47,56
0403,7,82.5,111,92,66.5,41.75,44.5,42,40,44.5,56
0663,1,83.5,97,105.5,62.3,40.25,42.5,44.5,41,44,60
0419,7,91,106,94,56.7,39,45.5,47,39,46,56
0188,3,91,97,96.5,62.3,38.75,46,44.5,43,45,56
0033,1,89,90,109.5,57.4,47,43.5,46,38.5,46.5,52
0109,2,83,112,106,50.4,36,45,44,43,44,56
0652,5,83,110,98.5,61.6,43,42.5,43.5,42.5,42.5,52
0235,4,93.5,86,101.5,62.3,38.75,45,47.5,41.5,47,56
0646,6,96,100,93,62.3,40.75,45,46,38,46,52
0321,6,78.5,116,99.5,56,35.5,47,43.5,40,46.5,56
0349,6,89,98,94.5,61.6,37.25,45.5,44,43.5,49,56
0563,9,87.5,112,95.5,61.6,39.5,42.5,45,40.5,46,48
0391,7,82.5,96,106,56.7,41.75,41.5,45.5,39,49,60
0433,7,88.5,97,100.5,56.7,43.25,47,44.5,45.5,47,48
0069,2,78,110,94.5,58.8,39.25,45,46,43,47,56
0648,9,78.5,114,92.5,65.1,40.25,41,41,42,47,56
0334,6,85,113,89,67.2,38.25,40.5,45.5,39.5,43,56
0260,5,76,111,97.5,60.9,39.75,46,44.5,42,47,52
0606,10,83,102,95.5,64.4,43.25,38.5,43.5,44.5,45.5,56
0579,10,91.5,107,92.5,50.4,40,43.5,46,42,46.5,56
0655,10,83.5,114,85.5,65.1,41.75,41,45,43,48.5,48
0278,5,80.5,106,104.5,65.8,40.5,44.5,44.5,32.5,48.5,48
0291,5,97.5,104,89.5,56.7,37.75,45.5,42,45,44.5,52
0028,1,85,115,100,60.9,42.5,43.5,44.5,29,42,52
0097,2,85.5,100,95,63.7,37.25,41.5,45,43,46.5,56
0483,8,88,89,102,62.3,38,43.5,44.5,45.5,48.5,52
0246,4,91.5,103,85.5,62.3,35.5,43,48,37.5,47,60
0106,2,87.5,109,95.5,59.5,35.25,43,42,41.5,48,52
0231,4,86.5,111,109,53.9,30.75,46,41,39,48,48
0146,3,87,112,93.5,65.8,32.75,41,41,36,44,60
0292,5,82,108,105.5,56.7,37,37,44,43.5,47,52
0190,3,97,98,94.5,50.4,38,49,46,40,47.5,52
0178,3,85.5,102,111,59.5,30.25,45.5,40.5,36,46,56
0167,3,86,108,89,60.2,35,48,43.5,42.5,44,56
0660,3,93.5,107,93.5,56.7,27.25,44,46,37.5,46.5,60
0132,3,86,96,104.5,61.6,36.5,44,47,34,46,56
0177,3,91.5,98,101,58.1,33.75,47,45,36,45,56
0180,3,90.5,108,84.5,59.5,35.25,47,43,38.5,45,60
0142,3,81.5,112,100.5,56.7,32.25,44.5,46,38,43.5,56
0422,7,74.5,98,104,63.7,40,45,43,39,47.5,56
0281,5,88.5,97,86,63.7,44.75,44,41,39.5,46,60
0256,4,88.5,99,108.5,58.8,31,42.5,44.5,42,43,52
0486,8,83.5,105,109,49.7,35.5,41.5,46.5,41,46,52
4014,2,85,111,81,67.9,39,41.5,33,44,47,60
0320,5,88.5,105,93.5,61.6,36.25,44.5,45.5,38.5,48,48
0604,10,81,104,89,65.8,39,39.5,46.5,45,47.5,52
0597,10,85.5,95,90,64.4,39.25,45,43,45.5,45.5,56
0176,3,88.5,85,105,57.4,36,45.5,44.5,44,47,56
0164,3,94.5,102,85.5,59.5,37.25,48,42,35.5,44.5,60
0459,8,87.5,97,106.5,60.9,36.5,38.5,46,40.5,47,48
0172,3,97.5,84,96.5,59.5,40.25,46,41,39.5,44,60
0476,8,85,99,89,57.4,44.5,45,45.5,43,47,52
0407,7,86,100,99.5,60.9,34,39,43.5,42.5,45.5,56
0064,1,88.5,101,99,58.8,32.5,46,42.5,36,46,56
0207,4,86,104,89.5,59.5,35,45.5,44.5,38.5,47.5,56
0330,6,90,94,91,65.1,37,46.5,46.5,42,45.5,48
0118,2,86,93,103,58.8,35.25,45.5,46,41.5,44.5,52
0271,5,88,97,89.5,67.9,34.5,42.5,48,40,45.5,52
0489,8,80.5,116,94.5,61.6,31.25,44.5,42,37,45,52
0432,7,82,106,96,60.9,35.25,39,45,40,47,52
0043,1,97,98,96.5,47.6,37,41,42,40.5,47,56
0500,8,76,101,99,63,31.75,41.5,46,43,45,56
0491,8,86.5,100,91.5,63,38.25,44,39.5,38.5,45,56
0402,7,82.5,109,95.5,59.5,34.5,45,46.5,27.5,46,56
0666,10,85.5,102,88,60.9,38.75,43,43,37.5,46.5,56
0220,4,85.5,110,93,60.9,29.5,49,41,29,47,56
0399,7,87,100,81.5,61.6,39.5,40.5,45.5,42.5,46.5,56
0314,5,89,93,96.5,56,30.5,46,44,43,46,56
0159,3,78.5,102,92.5,56,39.75,43.5,46,40,45.5,56
0675,8,89.5,95,105,51.1,23,47.5,50,32.5,50,56
0386,7,84.5,93,98.5,50.4,43,44.5,44.5,42.5,46.5,52
0186,3,86,101,92,61.6,27.75,48,43,36,47.5,56
0096,2,77.5,99,85,63.7,41.5,44,45.5,40,46,56
0286,5,83.5,109,89.5,63.7,34.75,38.5,44.5,35.5,42.5,56
0553,9,94,86,103.5,54.6,28.75,42.5,48,38.5,45,56
0559,9,83.5,100,87,56,39.75,46,44.5,39.5,44.5,56
0424,7,81.5,112,90,63,36.75,40.5,39,38.5,43.5,52
0127,2,75,96,95.5,59.5,38.75,44.5,46,42,42.5,56
0338,6,80,106,82.5,63.7,40,39,44,38,45,56
0122,2,81,100,97.5,54.6,38.5,36,41,41.5,44,60
0440,7,85,79,104.5,58.1,39.5,46.5,42.5,43,47.5,48
0035,1,85,92,95.5,57.4,40.5,40.5,45.5,35.5,45.5,56
0376,6,86.5,93,78.5,63.7,41.25,43.5,46.5,40,47.5,52
0537,9,81.5,113,89,58.1,43,37,43.5,32.5,46,48
0641,3,88.5,99,91.5,51.1,37,44.5,46,36.5,45.5,52
0351,6,81.5,95,86.5,66.5,32,45,44.5,42.5,46,52
0625,10,87,95,99,63.7,34.5,43.5,42.5,32.5,41.5,52
0019,1,70,111,94,63.7,37.75,41.5,43,37.5,44,48
0046,1,88,92,101.5,58.8,35.5,39.5,43,31.5,44.5,56
0544,9,84,111,90.5,53.9,41,42,44,27,44.5,52
0657,6,81,98,95.5,58.1,36.75,39,45.5,38,46,52
0624,10,87.5,104,84.5,62.3,37,39,44,33,46,52
0467,8,84,106,96,46.9,36.25,44.5,45,38,44.5,48
0202,4,80,111,80.5,60.9,33.5,44,40.5,38.5,44,56
0285,5,87.5,101,79,62.3,42,43,43.5,37,45.5,48
0556,9,91,89,91,54.6,34.25,41.5,44,40,46.5,56
0435,7,90,78,107.5,55.3,34,41.5,43,41.5,45,52
0411,7,74.5,95,96,59.5,34.5,41.5,42,40.5,48,56
0365,6,84.5,98,80.5,54.6,40.75,47,41.5,41.5,46.5,52
0004,1,80.5,113,80,58.1,24.75,41,45.5,38.5,45.5,60
0552,9,87.5,94,78,57.4,41,47.5,43.5,43,46.5,48
0487,8,82,101,90,55.3,33,39,44,38,44,60
0438,7,88.5,103,97.5,49.7,31,43.5,43,34.5,43,52
0102,2,76,99,81.5,58.1,35.75,43.5,43,42.5,46,60
0011,1,83,101,83,63,42.25,43,46.5,31,44,48
0327,6,81.5,107,87.5,57.4,34.5,37.5,43.5,35,44.5,56
0580,10,81.5,88,104.5,58.8,39.25,43.5,45,32.5,39,52
0034,1,86.5,89,97,51.8,35.5,43.5,44,40.5,43.5,52
0326,6,84,81,99.5,60.2,37,34.5,46.5,33,47.5,60
0341,6,77.5,109,92,49,32.75,42.5,44.5,32,47.5,56
0165,3,82,102,91.5,56,31.25,48,40.5,38.5,41,52
0073,2,85.5,82,91.5,53.9,35,44.5,45.5,37,47.5,60
0204,4,87,80,94,58.8,24,44.5,44.5,42,47.5,60
0063,1,78.5,90,90.5,64.4,35.25,45.5,44.5,43,42.5,48
0197,4,74.5,113,86,53.2,32.5,44,40,34,44.5,60
0253,4,84.5,95,101,53.9,28,43,43,36.5,44.5,52
0512,8,81,96,99.5,49.7,37,41.5,44.5,37,47,48
0058,1,83,89,92,53.9,39.25,44,44.5,41,45.5,48
0309,5,86.5,92,87.5,57.4,22.75,43,46,39.5,45.5,60
0038,1,84.5,94,85,55.3,39.25,43.5,44,42,44.5,48
0240,4,80.5,98,87.5,51.8,39.75,47.5,38,40.5,44.5,52
0284,5,76,93,86.5,61.6,34.25,41,45,39.5,47,56
0155,3,77.5,96,89.5,58.1,40.5,42,44,34,46,52
0130,3,86,100,73,55.3,37,44,45.5,34.5,48,56
0430,7,87.5,97,94.5,51.8,28,48,45.5,37.5,41.5,48
0505,8,76.5,102,89,64.4,34.75,39.5,41.5,41.5,42,48
0149,3,86,87,89,60.2,38.25,39.5,44,33,46,56
