,Name,Sex,Age,Height,Weight
292,Mohamed Ibrahim Abd El-Salam,M,22.0,192.0,83.0
294,Noha Abd Rabo,F,21.0,,
295,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15.0,167.0,60.0
298,Ali Abdalla Afringi,M,25.0,163.0,57.0
299,Hossam Abdalla,M,28.0,203.0,97.0
300,Hosam Abdallah,M,25.0,,
302,Ismail Abdallah,M,,,
310,Maged Abdallah,M,22.0,,
311,Nia Nicole Abdallah,F,20.0,175.0,56.0
312,Omari Abdallah,M,21.0,168.0,57.0
314,Ould Lamine Abdallah,M,,,
315,Younis Abdallah Rabee,M,23.0,169.0,68.0
316,Raida Abdallah Bader,F,19.0,158.0,49.0
317,Maha Abdalsalam Gouda,F,18.0,172.0,61.0
318,Mahmoud Abdel Aziz,M,25.0,174.0,70.0
319,Mohamed Abdel Ellah,M,32.0,168.0,68.0
320,Mohamed Abdel Fatah,M,,170.0,69.0
321,Ali Mohamed Badawi Abdel Fattah Badawi,M,19.0,,
322,Abdelgani Hassan Abdel Fattah,M,31.0,,
323,Mahmoud Atter Abdel Fattah,M,,,
324,Mohamed Abdel Fattah,M,23.0,174.0,69.0
325,Sayed Abdel Gadir,M,23.0,180.0,56.0
327,Ibrahim Saad Abdel Galil,M,,176.0,73.0
329,Heba Abdel Gawad,F,18.0,154.0,48.0
331,Sara Abdel Gawad,F,18.0,153.0,46.0
332,Gamal Amin Abdel Ghani,M,29.0,,
333,Abdel Sattar Abdel Hadj,M,,,
334,Ragy Abdel Hady,M,30.0,186.0,100.0
335,Osman Abdel Hafeez,M,31.0,,
340,Mohamed Abdel Hafiz,M,,,
341,Moustafa Ali Abdel Halim,M,32.0,152.0,52.0
342,Mohamed Abdel Hamed,M,24.0,193.0,82.0
343,Hwad Ibrahim Abdel Hamid Lumomba,M,,162.0,57.0
344,Ibrahim Abdel Hamid,M,,,
345,Tamer Mohamed Abdel Hamid,M,20.0,,
346,Ahmed El-Sayed Abdel Hamid Mobarak,M,25.0,189.0,85.0
347,Dorri Abdel Kader Said,M,21.0,,
353,Moustafa Mounib Abdel Kader,M,,176.0,67.0
354,Mohamed Ali Abdel Kerim,M,24.0,,81.0
356,Mohamed Abdel Khaled,M,24.0,183.0,76.0
357,Abdel Latif Abdel Latif,M,28.0,172.0,68.0
358,Walid Abdel Maksoud,M,29.0,,
359,Amir Abdel Meguid,M,23.0,178.0,67.0
361,Mohamed Abdel Mohamed,M,24.0,,
362,Karim Abdel Mohsen,M,25.0,188.0,92.0
363,Awad Abdel Nabi Awad,M,19.0,198.0,80.0
365,Ahmed Abdel Naeim,M,23.0,197.0,87.0
367,Moustafa Abdel Naser,M,21.0,176.0,74.0
368,Ali Abdel Radi,M,24.0,,
369,Amin Abdel Rahman,M,18.0,,
371,Mohamed Fathallah Abdel Rahman,M,21.0,,
378,Fathi Ali Abdel Rahman,M,20.0,,
