Direction,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
南,有电梯,中楼层(共14层),金地湾流域(公寓),95,4室2厅,1300.0,浦东,精装,178.21,1995.0
南,无电梯,低楼层(共6层),恒大华城东林苑,96,3室1厅,465.0,浦东,简装,79.36,1995.0
南,无电梯,中楼层(共6层),河滨城市花园,97,2室2厅,380.0,浦东,精装,86,1995.0
南北,有电梯,低楼层(共23层),凯旋华庭,98,2室2厅,740.0,普陀,精装,111.96,1995.0
南,无电梯,中楼层(共5层),万科假日风景(公寓),99,2室1厅,598.0,闵行,精装,92.01,1995.0
南,无电梯,高楼层(共6层),远景佳苑一期,100,2室2厅,432.0,宝山,简装,96.64,1995.0
南北,有电梯,高楼层(共14层),新梅共和城,101,3室2厅,905.0,闸北,毛坯,125.55,1995.0
南北,有电梯,中楼层(共8层),绿地香颂(奉贤)(公寓),102,1室1厅,115.0,奉贤,简装,62.16,1995.0
南北,有电梯,中楼层(共14层),荣域飘鹰锦和花园(公寓),103,2室2厅,385.0,宝山,精装,86.88,1995.0
南西,有电梯,低楼层(共16层),凯德嘉博名邸,104,2室1厅,700.0,浦东,精装,89.93,1995.0
南,有电梯,中楼层(共25层),黄浦新苑(公寓),105,3室2厅,1398.0,黄浦,精装,158.11,1995.0
南,有电梯,低楼层(共21层),华润中央公园(陈翔公路1588弄),106,2室2厅,443.0,嘉定,精装,83.58,1995.0
暂无数据,有电梯,中楼层(共14层),象屿名城,107,2室2厅,385.0,松江,其他,91.22,1995.0
南,无电梯,中楼层(共6层),高兴花园,108,2室1厅,340.0,闵行,简装,70,1995.0
南北,无电梯,中楼层(共5层),万科金色雅筑,109,3室2厅,640.0,浦东,其他,89,1995.0
南,无电梯,低楼层(共6层),成亿宝盛家苑,110,2室2厅,260.0,宝山,简装,73.81,1995.0
南,无电梯,中楼层(共6层),呼玛五村,111,3室1厅,290.0,宝山,毛坯,75.29,1995.0
南,无电梯,低楼层(共6层),皇都花园(公寓),112,3室2厅,1150.0,闵行,精装,176.37,1995.0
南北,有电梯,中楼层(共11层),莲浦府邸(公寓),113,2室2厅,790.0,闵行,精装,116.21,1995.0
南,有电梯,中楼层(共25层),华润外滩九里,114,3室2厅,2450.0,黄浦,精装,187.98,1995.0
南,有电梯,中楼层(共31层),联洋花园(二期),115,3室2厅,1280.0,浦东,精装,149.22,1995.0
暂无数据,有电梯,低楼层(共20层),瑞嘉苑,116,2室2厅,740.0,虹口,其他,90.43,1995.0
南,无电梯,高楼层(共6层),密三小区,117,1室1厅,230.0,虹口,毛坯,39.53,1995.0
南,有电梯,高楼层(共32层),汇龙新城,118,3室2厅,1370.0,黄浦,精装,134.35,1995.0
南,有电梯,中楼层(共7层),浦润苑,119,2室2厅,300.0,闵行,其他,88.32,1995.0
南北,有电梯,低楼层(共13层),金谊河畔,120,2室2厅,550.0,浦东,其他,101.57,1995.0
南北,有电梯,低楼层(共11层),中信和平家园,121,2室2厅,790.0,虹口,精装,90.69,1995.0
西南,有电梯,中楼层(共35层),江临天下,122,3室2厅,1199.0,浦东,精装,135.37,1995.0
东南南,有电梯,低楼层(共34层),虹祺花苑(公寓),123,3室2厅,800.0,虹口,精装,145.37,1995.0
南,无电梯,高楼层(共6层),思浦小区,124,1室1厅,240.0,浦东,简装,49.92,1995.0
南,有电梯,低楼层(共11层),静安新城七区,125,3室2厅,698.0,闵行,简装,103.97,1995.0
南,有电梯,低楼层(共8层),红墅1858(公寓),126,3室2厅,330.0,松江,简装,89.6,1995.0
南,无电梯,低楼层(共6层),光华园,127,3室1厅,680.0,徐汇,毛坯,81.28,1995.0
东南,有电梯,低楼层(共39层),瑞虹新城(一期),128,4室2厅,1050.0,虹口,简装,177.1,1995.0
南西,有电梯,高楼层(共11层),愉景华庭,129,3室2厅,900.0,普陀,精装,148.26,1995.0
南,有电梯,低楼层(共11层),畅馨园,130,3室2厅,500.0,闵行,毛坯,131.71,1995.0
南,有电梯,中楼层(共32层),菊园,131,3室2厅,1050.0,浦东,精装,120.08,1995.0
南,有电梯,中楼层(共7层),天馨花园(公寓),132,3室1厅,410.0,宝山,简装,130.24,1995.0
南,有电梯,低楼层(共17层),保利御樽苑(公寓),133,3室2厅,650.0,浦东,其他,133.97,1995.0
南,无电梯,低楼层(共6层),枫庭丽苑,134,2室2厅,520.0,宝山,精装,96.16,1995.0
南北,无电梯,高楼层(共6层),天池一村,135,2室1厅,290.0,浦东,简装,54.05,1995.0
南,无电梯,高楼层(共6层),逸仙二村,136,2室1厅,260.0,宝山,简装,62.27,1995.0
南,无电梯,高楼层(共6层),长虹公寓,137,2室1厅,340.0,长宁,简装,64.09,1995.0
南,无电梯,中楼层(共6层),天环苑,138,2室2厅,220.0,浦东,毛坯,77.41,1995.0
南,无电梯,中楼层(共5层),思浦小区,139,2室0厅,245.0,浦东,简装,48.65,1995.0
南北,有电梯,低楼层(共33层),金地艺境(宝山),140,2室1厅,255.0,宝山,精装,71.99,1995.0
南北,,高楼层(共18层),棕榈滩海景城,141,2室2厅,160.0,奉贤,毛坯,90.35,1995.0
东南,有电梯,高楼层(共14层),幸福小镇,142,2室1厅,370.0,浦东,简装,77.42,1995.0
南,无电梯,低楼层(共6层),四季绿城,143,3室2厅,565.0,宝山,精装,106.65,1995.0
南北,有电梯,高楼层(共7层),浦江华侨城6期,144,3室2厅,670.0,闵行,精装,106.3,1995.0
南,有电梯,低楼层(共33层),永新城,145,3室2厅,1470.0,徐汇,精装,126.27,1995.0
南北,有电梯,中楼层(共26层),耀江花园,146,3室2厅,1620.0,黄浦,精装,136.89,1995.0
南,有电梯,低楼层(共7层),缘圆宝邸,147,2室2厅,324.0,嘉定,精装,73.01,1995.0
南,无电梯,高楼层(共6层),宝仪花苑,148,2室1厅,460.0,闵行,精装,72,1995.0
