title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
宝马X1 2016款 sDrive20Li 豪华型,华晨宝马,2016-11,2.19,自动,2.0T,22.76,37.40,深圳,2016款,紧凑型,1,192马力,汽油,4565,1821,1624,,前置前驱
日产 轩逸 2012款 经典 1.6XE 自动舒适版,东风日产,2013-12,4.68,自动,1.6L,5.50,5.98,深圳,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,长安福特,2016-01,3.5,自动,1.5T,12.01,12.36,深圳,2013款,中型,0,181马力,汽油,4860,1854,1480,,前置前驱
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型,长安马自达,2017-05,3.51,自动,1.5L,10.70,15.20,深圳,2017款,紧凑型,0,117马力,汽油,4582,1795,1458,,前置前驱
哈弗H2 2014款 1.5T 手动两驱精英版,长城汽车,2014-10,5.71,手动,1.5T,5.20,11.30,深圳,2014款,小型,1,150马力,汽油,4335,1814,1695,,前置前驱
传祺GS4 2017款 235T 自动两驱豪华智联版,广汽乘用车,2018-03,1.97,自动,1.5T,9.60,9.98,深圳,2017款,紧凑型,1,152马力,汽油,4510,1852,1708,,前置前驱
丰田 雷凌 2014款 1.6G CVT精英版,广汽丰田,2015-10,2.93,自动,1.6L,8.05,13.50,深圳,2014款,紧凑型,0,122马力,汽油,4630,1775,1480,,前置前驱
起亚 福瑞迪 2011款 1.6L MT GL,东风悦达起亚,2012-08,4.59,手动,1.6L,3.50,10.70,深圳,2011款,紧凑型,0,123马力,汽油,4530,1775,1460,,前置前驱
大众 朗行 2013款 1.6L 自动舒适型,上汽大众,2014-06,9.38,自动,1.6L,6.88,15.30,深圳,2013款,紧凑型,0,110马力,汽油,4454,1765,1460,,前置前驱
长城C50 2013款 1.5T 手动时尚型,长城汽车,2013-09,6.12,手动,1.5T,3.10,8.70,深圳,2013款,紧凑型,0,133马力,汽油,4650,1775,1455,,前置前驱
标致408 2015款 1.2T 自动豪华版,东风标致,2016-08,6.28,自动,1.2T,7.72,16.50,深圳,2015款,紧凑型,0,136马力,汽油,4750,1820,1488,,前置前驱
DS 6 2016款 1.6T 雅致版THP160,长安标致雪铁龙,2018-01,3.26,自动,1.6T,12.40,22.50,深圳,2016款,紧凑型,1,167马力,汽油,4553,1858,1610,,前置前驱
雪佛兰 科鲁兹 2016款 1.5L 手动精英版,上汽通用雪佛兰,2015-11,3.97,手动,1.5L,6.00,13.00,深圳,2016款,紧凑型,0,114马力,汽油,4567,1786,1456,,前置前驱
雪铁龙 世嘉 2013款 三厢 1.6L 自动品尚型,东风雪铁龙,2014-07,4.52,自动,1.6L,5.00,12.80,深圳,2013款,紧凑型,0,117马力,汽油,4588,1773,1486,,前置前驱
标致508 2013款 2.0L 两周年纪念 自动智享版,东风标致,2014-02,6.34,自动,2.0L,7.10,22.20,深圳,2013款,中型,0,147马力,汽油,4826,1855,1465,,前置前驱
大众 朗逸 2013款 改款经典 1.6L 手动风尚版,上汽大众,2013-11,6.77,手动,1.6L,5.00,12.30,深圳,2013款,紧凑型,0,110马力,汽油,4605,1765,1460,,前置前驱
雪佛兰 科帕奇 2011款 2.4 AT 7座豪华导航版(进口),雪佛兰(进口),,13.69,自动,2.4L,7.00,28.60,深圳,2011款,中型,1,167马力,汽油,4673,1868,1756,,前置四驱
别克 英朗 2012款 XT 1.6T 时尚运动版,上汽通用别克,2012-06,13.63,自动,1.6T,5.00,18.60,深圳,2012款,紧凑型,0,184马力,汽油,4419,1814,1487,,前置前驱
比亚迪S7 2015款 2.0T 升级版 自动旗舰型,比亚迪,2015-01,5.17,自动,2.0T,5.80,15.20,深圳,2015款,中型,1,205马力,汽油,4835,1855,1720,,前置前驱
吉利 帝豪GL 2018款 1.8L 自动精英智联型,吉利汽车,2017-12,2.29,自动,1.8L,7.43,10.50,深圳,2018款,紧凑型,0,133马力,汽油,4725,1802,1478,,前置前驱
传祺GS4 2015款 200T 手动精英版,广汽乘用车,2015-12,4.46,手动,1.3T,5.60,11.80,深圳,2015款,紧凑型,1,137马力,汽油,4510,1852,1708,,前置前驱
丰田 凯美瑞 2012款 200G 经典豪华版,广汽丰田,2012-08,3.81,自动,2.0L,9.72,21.00,深圳,2012款,中型,0,147马力,汽油,4825,1820,1485,,前置前驱
别克 凯越 2013款 1.5L 自动经典型,上汽通用别克,2014-11,10.98,自动,1.5L,4.50,11.10,深圳,2013款,紧凑型,0,113马力,汽油,4515,1725,1445,,前置前驱
宝马5系 2013款 520Li 典雅型,华晨宝马,2012-10,11.64,自动,2.0T,21.00,46.50,深圳,2013款,中大型,0,184马力,汽油,5039,1860,1492,,前置后驱
本田 雅阁 2016款 混动 2.0L 锐领版,广汽本田,2017-11,3.31,自动,2.0L,19.54,28.20,深圳,2016款,中型,0,146马力,油电混合,4915,1845,1470,,前置前驱
丰田 威驰 2017款 1.5L CVT创行版,一汽丰田,2017-05,1.27,自动,1.5L,7.15,9.70,深圳,2017款,小型,0,107马力,汽油,4420,1700,1490,,前置前驱
现代 领动 2016款 1.6L 自动智炫·精英型,北京现代,2017-02,2.9,自动,1.6L,7.83,13.00,深圳,2016款,紧凑型,0,130马力,汽油,4610,1800,1450,,前置前驱
本田 奥德赛 2015款 2.4L 智享版,广汽本田,2015-01,4.35,自动,2.4L,18.20,29.00,深圳,2015款,MPV,0,186马力,汽油,4830,1805,1695,,前置前驱
