title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
日产 轩逸 2012款 1.8XL CVT豪华版,东风日产,2016-03,0.43,自动,1.8L,8.98,16.30,上海,2012款,紧凑型,0,139马力,汽油,4610,1760,1495,,前置前驱
别克 凯越 2011款 1.6LE-AT,上汽通用别克,2012-06,7.38,自动,1.6L,3.38,12.80,上海,2011款,紧凑型,0,110马力,汽油,4515,1725,1445,,前置前驱
现代 伊兰特 2011款 1.6L 手动舒适型,北京现代,2011-09,5.54,手动,1.6L,2.51,9.70,上海,2011款,紧凑型,0,112马力,汽油,4545,1725,1425,,前置前驱
奔驰C级 2010款 C 200 CGI 优雅型,北京奔驰,2011-07,10.19,自动,1.8T,10.11,37.80,上海,2010款,中型,0,184马力,汽油,4581,1770,1448,,前置后驱
大众 迈腾 2015款 改款 1.8TSI 豪华型,一汽-大众,2015-09,10.91,自动,1.8T,13.34,13.73,上海,2015款,中型,0,160马力,汽油,4865,1820,1475,,前置前驱
英菲尼迪QX50 2015款 2.5L 悦享版,东风英菲尼迪,2016-03,7.3,自动,2.5L,20.33,20.81,上海,2015款,中型,1,235马力,汽油,4744,1803,1614,,前置四驱
斯柯达Yeti 2016款 1.4TSI DSG前行版,上汽斯柯达,2016-06,4.84,自动,1.4T,7.74,16.30,上海,2016款,小型,1,150马力,汽油,4275,1793,1682,,前置前驱
现代 悦动 2011款 1.6L 手动舒适型,北京现代,2013-12,6.66,手动,1.6L,3.54,10.80,上海,2011款,紧凑型,0,123马力,汽油,4543,1777,1490,,前置前驱
福特 蒙迪欧-致胜 2011款 2.0L 舒适型,长安福特,2012-11,6.83,手动,2.0L,4.66,4.87,上海,2011款,中型,0,146马力,汽油,4854,1886,1495,,前置前驱
路虎 神行者2 2012款 2.0T Si4 HSE汽油版(进口),路虎(进口),2013-01,9.51,自动,2.0T,21.11,64.90,上海,2012款,中型,1,240马力,汽油,4500,2005,1765,,前置四驱
标致508 2012款 2.0L 自动智享版,东风标致,2012-11,3.57,自动,2.0L,6.80,22.20,上海,2012款,中型,0,147马力,汽油,4826,1855,1465,,前置前驱
大众 途观 2015款 1.8TSI 自动两驱豪华型,上汽大众,2015-07,4.31,自动,1.8T,14.06,14.38,上海,2015款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
宝马5系 2013款 530Li 领先型,华晨宝马,2014-10,4.33,自动,3.0L,25.26,60.70,上海,2013款,中大型,0,258马力,汽油,5039,1860,1492,,前置后驱
